1,795-73-9838,Catherine,Abel,31692.00
2,990-00-6818,Kim,Abercrombie,990.00
3,009-37-3952,Frances,Adams,5684.00
4,708-44-3627,Jay,Adams,55415.00
5,447-62-6279,Robert,Ahlering,49744.00
6,872-78-4732,Stanley,Alan,38584.00
7,898-79-8701,Paul,Alcorn,11918.00
8,561-88-3757,Mary,Alexander,17349.00
9,904-55-0991,Michelle,Alexander,70796.00
10,293-95-6617,Marvin,Allen,96956.00
11,260-99-4784,Oscar,Alpuerto,18386.00
12,605-29-1370,Ramona,Antrim,72548.00
13,731-35-9387,Thomas,Armstrong,72180.00
14,854-76-1401,John,Arthur,79054.00
15,775-20-2697,Chris,Ashton,6011.00
16,117-79-5230,Teresa,Atkinson,87089.00
17,607-41-3750,Stephen,Ayers,72344.00
18,412-66-3694,James,Bailey,33950.00
19,775-63-2547,Douglas,Baldwin,89945.00
20,779-52-1722,Wayne,Banack,73236.00
21,647-03-0271,Robert,Barker,23861.00
22,353-98-6954,John,Beaver,75812.00
23,817-89-8819,John,Beaver,19047.00
24,611-82-6762,Edna,Benson,59478.00
25,665-55-5653,Payton,Benson,98459.00
26,947-37-8651,Robert,Bernacchi,78183.00
27,071-31-7824,Robert,Bernacchi,79399.00
28,610-55-3726,Matthias,Berndt,20209.00
29,590-27-0856,Jimmy,Bischoff,24730.00
30,008-73-9012,Mae,Black,60057.00
31,137-23-1723,Donald,Blanton,65301.00
32,969-53-6095,Michael,Blythe,5635.00
33,222-42-8458,Gabriel,Bockenkamp,41020.00
34,163-08-2988,Luis,Bonifaz,85014.00
35,898-11-0280,Cory,Booth,49351.00
36,432-52-2738,Randall,Boseman,24063.00
37,018-29-9539,Cornelius,Brandon,91513.00
38,472-36-9060,Richard,Bready,26084.00
39,566-87-9214,Ted,Bremer,95506.00
40,771-34-9714,Alan,Brewer,35682.00
41,413-73-7072,Walter,Brian,5198.00
42,497-65-6363,Christopher,Bright,24216.00
43,450-26-2195,Willie,Brooks,55078.00
44,052-78-7929,Jo,Brown,17396.00
45,087-92-6356,Robert,Brown,99872.00
46,048-71-8953,Steven,Brown,88633.00
47,488-68-6075,Mary,Browning,59229.00
48,819-63-3780,Michael,Brundage,30996.00
49,599-61-7739,Shirley,Bruner,35872.00
50,772-36-0661,June,Brunner,84642.00
51,990-78-3760,Megan,Burke,76800.00
52,103-38-5903,Karren,Burkhardt,93306.00
53,146-43-8832,Linda,Burnett,56479.00
54,448-72-5948,Jared,Bustamante,7997.00
55,254-13-4819,Barbara,Calone,28720.00
56,666-45-9926,Lindsey,Camacho,11870.00
57,260-46-2402,Frank,Campbell,87501.00
58,189-92-4702,Henry,Campen,30494.00
59,718-12-8401,Chris,Cannon,2324.00
60,918-66-9747,Jane,Carmichael,22620.00
61,806-97-1958,Jovita,Carmody,37601.00
62,482-61-8230,Rob,Caron,16904.00
63,897-39-6229,Andy,Carothers,40261.00
64,656-79-6279,Donna,Carreras,78393.00
65,745-99-0161,Rosmarie,Carroll,98109.00
66,216-16-4120,Raul,Casts,41706.00
67,102-56-5530,Matthew,Cavallari,75290.00
68,787-23-4125,Andrew,Cencini,75121.00
69,424-55-1778,Stacey,Cereghino,25456.00
70,572-19-0999,Forrest,Chandler,49996.00
71,745-81-6513,Lee,Chapla,70991.00
72,947-66-5585,Yao-Qiang,Cheng,72455.00
73,531-83-4784,Nicky,Chesnut,13676.00
74,109-99-0299,Ruth,Choin,55818.00
75,483-85-6853,Anthony,Chor,71421.00
76,567-39-1024,Pei,Chow,57284.00
77,382-49-7387,Jill,Christie,94767.00
78,336-03-8102,Alice,Clark,47963.00
79,994-22-9926,Connie,Coffman,32136.00
80,129-28-7723,John,Colon,82858.00
81,347-44-2949,Scott,Colvin,1121.00
82,706-66-0382,Scott,Cooper,22281.00
83,500-63-2220,Eva,Corets,34410.00
84,942-15-7859,Marlin,Coriell,43154.00
85,143-78-9971,Jack,Creasey,66527.00
86,372-18-7905,Grant,Culbertson,69903.00
87,153-33-1155,Scott,Culp,87717.00
88,790-69-5423,Megan,Davis,69707.00
89,105-16-8373,Alvaro,De Matos Miranda Filho,15198.00
90,989-18-3523,Aidan,Delaney,86115.00
91,771-07-7325,Stefan,Delmarco,50994.00
92,545-83-9747,Prashanth,Desai,97968.00
93,994-72-1605,Bev,Desalvo,76954.00
94,558-23-5595,Brenda,Diaz,4027.00
95,752-63-1338,Blaine,Dockter,12312.00
96,825-10-8923,Cindy,Dodd,82876.00
97,368-69-8964,Patricia,Doyle,97282.00
98,597-44-1424,Gerald,Drury,20153.00
99,957-28-1545,Bart,Duncan,89903.00
100,187-17-8616,Maciej,Dusza,6725.00
101,194-76-9481,Carol,Elliott,49287.00
102,679-79-8165,Shannon,Elliott,94194.00
103,367-73-8845,John,Emory,65560.00
104,814-03-3691,Gail,Erickson,99845.00
105,214-28-9968,Mark,Erickson,95242.00
106,913-55-6645,Ann,Evans,48046.00
107,763-33-5650,John,Evans,59254.00
108,658-41-8532,Twanna,Evans,35364.00
109,943-41-6011,Carolyn,Farino,76201.00
110,691-30-8623,Geri,Farrell,39600.00
111,361-08-3217,François,Ferrier,3704.00
112,827-51-1487,Kathie,Flood,78467.00
113,483-93-0057,John,Ford,77552.00
114,738-37-1607,Garth,Fort,34381.00
115,822-59-9384,Dorothy,Fox,32679.00
116,309-79-2521,Mihail,Frintu,52898.00
117,814-32-0421,Paul,Fulton,1320.00
118,076-35-8143,Michael,Galos,24061.00
119,620-03-4764,Jon,Ganio,70002.00
120,769-76-3600,Dominic,Gash,89479.00
121,160-92-3129,Janet,Gates,49178.00
122,318-00-6667,Janet,Gates,68327.00
123,982-77-3975,Orlando,Gee,53281.00
124,328-68-1544,Darren,Gehring,13353.00
125,053-51-9173,Jim,Geist,91180.00
126,840-05-6646,Guy,Gilbert,3780.00
127,446-11-2924,Janet,Gilliat,89588.00
128,273-16-2522,Mary,Gimmi,53352.00
129,003-23-9305,Jeanie,Glenn,49086.00
130,878-44-1968,Scott,Gode,2744.00
131,910-05-4138,Mete,Goktepe,89053.00
132,912-33-3174,Abigail,Gonzalez,56550.00
133,058-26-3234,Michael,Graff,41144.00
134,687-28-3396,Douglas,Groncki,22262.00
135,496-75-4904,Brian,Groth,35712.00
136,071-00-8057,Erin,Hagens,48197.00
137,288-05-9705,Betty,Haines,6286.00
138,002-47-6040,Jean,Handley,22940.00
139,936-84-1664,Kerim,Hanif,80093.00
140,216-03-0835,John,Hanson,10237.00
